,refundAmount,refundPrice,saleAmount,salePrice,serialNum
667,0,0.00,3.00,38.70,6923976110136
668,0,0.00,10.00,129.00,6923976112161
669,0,0.00,8.00,103.20,6923976181266
670,0,0.00,10.00,320.00,1008861919351350
671,0,0.00,8.00,160.00,6371251253
672,0,0.00,3.00,40.50,6909689901483
673,0,0.00,1.00,7.50,6942848800050
674,0,0.00,2.00,25.00,6972779770023
675,0,0.00,13.00,162.50,6972779770016
676,0,0.00,35.00,5596.50,6916168616554
677,0,0.00,18.00,135.00,6934126261899
678,0,0.00,9.00,112.50,6958104100796
679,0,0.00,49.00,5336.10,6938749816122
688,0,0.00,2.00,150.00,6971114920017
689,0,0.00,2.00,33.60,6958104101861
690,0,0.00,7.00,118.30,6934126262346
691,0,0.00,20.00,170.00,6931299062605
692,0,0.00,4.00,39.20,6934126262933
693,0,0.00,2.00,159.80,6971938360006
694,0,0.00,14.00,208.60,6958104101021
695,0,0.00,3.00,419.70,6971938360075
696,0,0.00,25.00,822.50,6971114920178
697,0,0.00,37.00,514.30,6934230050129
698,0,0.00,99.00,445.50,6901808188881
699,0,0.00,15.00,255.00,6970209860467
700,0,0.00,13.00,221.00,6970209860221
701,0,0.00,23.00,2967.00,6975471520019
702,0,0.00,6.00,150.00,6924773600165
703,0,0.00,6.00,35.40,6924116170089
704,0,0.00,2.00,11.80,6924116188879
705,0,0.00,7.00,41.30,6924116170010
706,0,0.00,3.00,77.70,6971851560439
707,0,0.00,4.00,75.60,6971851560026
708,0,0.00,3.00,43.50,4897045430383
709,0,0.00,2.00,29.00,4897045430390
710,0,0.00,1.00,14.90,6975287200266
711,0,0.00,4.00,58.00,6957258516460
712,0,0.00,3.00,34.50,6975287200488
713,0,0.00,3.00,46.50,6975287200044
714,0,0.00,1.00,13.50,6957258513933
715,0,0.00,10.00,120.00,6975287200358
716,0,0.00,7.00,94.50,6957258513940
717,0,0.00,4.00,48.00,6975287200365
726,0,0.00,4.00,48.00,6957258516156
727,0,0.00,13.00,188.50,6957258516231
728,0,0.00,1.00,13.50,6957258517108
729,0,0.00,5.00,67.50,6957258517115
730,0,0.00,2.00,37.00,6975287200730
731,0,0.00,4.00,62.00,6975287200037
732,0,0.00,46.00,239.20,6902538008425
733,0,0.00,59.00,306.80,6902538004045
734,0,0.00,45.00,234.00,6902538005141
735,0,0.00,10.00,52.00,6902538004052
736,0,0.00,4.00,72.00,1008861919350087
737,0,0.00,4.00,48.00,6902131130011
738,0,0.00,6.00,139.20,6902131130882
739,0,0.00,32.00,345.60,6974106600027
740,0,0.00,8.00,320.00,6958196800499
741,0,0.00,20.00,1230.00,6958196800338
742,0,0.00,3.00,327.00,6955801112596
743,0,0.00,1.00,18.00,1008861919352104
744,0,0.00,11.00,748.00,6923644232658
745,0,0.00,8.00,544.00,6923644297251
746,0,0.00,4.00,272.00,6923644299804
747,0,0.00,2.00,27.80,6971654248015
748,0,0.00,2.00,36.00,6971654248091
