,importPrice,refundAmount,refundPrice,saleAmount,salePrice,saleTotal,serialNum
524,10.50,0,0.00,3,13.20,39.60,6952675337735
525,12.80,0,0.00,11,16.50,181.50,6952675329938
526,19.00,0,0.00,13,23.50,305.50,6952675329921
527,26.00,0,0.00,15,31.80,477.00,6952675321123
528,13.00,0,0.00,8,16.20,129.60,6952675319915
529,10.50,0,0.00,1,13.50,13.50,6971827490623
530,5.80,0,0.00,1,7.50,7.50,4897082059974
531,5.80,0,0.00,2,7.50,15.00,4897082059998
532,21.73,0,0.00,1,27.50,27.50,4014400400007
533,14.50,0,0.00,2,17.80,35.60,653314503486
534,14.50,0,0.00,5,17.80,89.00,653314503493
535,14.00,0,0.00,3,17.90,53.70,6970631040109
536,14.00,0,0.00,2,17.90,35.80,6970631040123
537,14.00,0,0.00,3,17.90,53.70,6970631040130
538,5.30,0,0.00,3,6.50,19.50,6922621132783
539,11.50,0,0.00,2,15.00,30.00,6972508380417
540,15.00,0,0.00,2,19.50,39.00,6975048660810
541,24.00,0,0.00,8,29.50,236.00,6975048660834
542,13.00,0,0.00,3,17.00,51.00,6973968810094
543,13.00,0,0.00,2,17.00,34.00,6973968810988
544,26.50,0,0.00,3,34.00,102.00,6973968810063
545,12.00,0,0.00,3,15.50,46.50,6941174499631
546,8.80,0,0.00,1,10.80,10.80,6941174497156
547,8.80,0,0.00,1,10.80,10.80,6941174497149
548,39.50,0,0.00,1,49.00,49.00,6941174497026
549,27.50,0,0.00,2,35.80,71.60,6947705608107
550,9.00,0,0.00,4,12.50,50.00,6941025701999
559,9.00,0,0.00,3,12.50,37.50,6941025701968
560,9.00,0,0.00,2,12.50,25.00,6941025701975
561,13.00,0,0.00,8,16.80,134.40,6975287200020
562,24.00,0,0.00,1,30.00,30.00,6901333980196
563,16.50,0,0.00,3,22.50,67.50,6935036401603
564,18.80,0,0.00,2,25.50,51.00,6935036401597
565,17.50,0,0.00,4,24.00,96.00,6935036401580
